task,wording,k,condition,idx,gold,pred,correct,eff_hops,leak,error,completion
parallel,default,2,immediate,29,AF,AF,1,-1,0,0,Answer: AF
parallel,default,2,immediate,30,HB,CN,0,-1,0,0,Answer: CN
parallel,default,2,immediate,31,GF,GF,1,-1,0,0,Answer: GF
parallel,default,2,immediate,32,WV,WV,1,-1,0,0,WV
parallel,default,2,immediate,33,QL,QL,1,-1,0,0,QL
parallel,default,2,immediate,34,LT,LT,1,-1,0,0,LT
parallel,default,2,immediate,35,AP,AP,1,-1,0,0,Answer: AP
parallel,default,2,immediate,36,NM,NM,1,-1,0,0,Answer: NM
parallel,default,2,immediate,37,YQ,YQ,1,-1,0,0,Answer: YQ
parallel,default,2,immediate,38,OF,OF,1,-1,0,0, OF
parallel,default,2,immediate,39,TS,TS,1,-1,0,0,Answer: TS
parallel,default,2,filler,0,PT,PT,1,-1,0,0,PT
parallel,default,2,filler,1,PA,PA,1,-1,0,0,PA
parallel,default,2,filler,2,RP,RP,1,-1,0,0,Answer: RP
parallel,default,2,filler,3,BW,BW,1,-1,0,0,Answer: BW
parallel,default,2,filler,4,QF,QF,1,-1,0,0,Answer: QF
parallel,default,2,filler,5,XX,XX,1,-1,0,0,Answer: XX
parallel,default,2,filler,6,KA,GB,0,-1,0,0,Answer: GB
parallel,default,2,filler,7,TG,TG,1,-1,0,0,TG
parallel,default,2,filler,8,WF,WF,1,-1,0,0,Answer: WF
parallel,default,2,filler,9,IM,IM,1,-1,0,0,IM
parallel,default,2,filler,10,ZU,ZU,1,-1,0,0,Answer: ZU
parallel,default,2,filler,11,IC,IC,1,-1,0,0,Answer: IC
parallel,default,2,filler,12,CU,CU,1,-1,0,0,CU
parallel,default,2,filler,13,XF,XF,1,-1,0,0,Answer: XF
parallel,default,2,filler,14,BD,BD,1,-1,0,0,Answer: BD
parallel,default,2,filler,15,TU,TU,1,-1,0,0,Answer: TU
parallel,default,2,filler,16,ZL,ZL,1,-1,0,0,ZL
parallel,default,2,filler,17,GS,GS,1,-1,0,0,Answer: GS
parallel,default,2,filler,18,AE,AE,1,-1,0,0,AE
parallel,default,2,filler,19,OU,OU,1,-1,0,0,OU
parallel,default,2,filler,20,KP,KP,1,-1,0,0,KP
parallel,default,2,filler,21,QM,QM,1,-1,0,0,Answer: QM
parallel,default,2,filler,22,MP,MP,1,-1,0,0,MP
parallel,default,2,filler,23,FB,FB,1,-1,0,0,FB
parallel,default,2,filler,24,RV,RV,1,-1,0,0,Answer: RV
parallel,default,2,filler,25,XI,XI,1,-1,0,0,Answer: XI
parallel,default,2,filler,26,IS,IS,1,-1,0,0,IS
parallel,default,2,filler,27,MI,MI,1,-1,0,0,Answer: MI
parallel,default,2,filler,28,GA,GA,1,-1,0,0,Answer: GA
parallel,default,2,filler,29,AF,AF,1,-1,0,0,Answer: AF
parallel,default,2,filler,30,HB,HB,1,-1,0,0,HB
parallel,default,2,filler,31,GF,GF,1,-1,0,0,Answer: GF
parallel,default,2,filler,32,WV,WV,1,-1,0,0,WV
parallel,default,2,filler,33,QL,QL,1,-1,0,0,QL
parallel,default,2,filler,34,LT,LT,1,-1,0,0,LT
parallel,default,2,filler,35,AP,AP,1,-1,0,0,AP
parallel,default,2,filler,36,NM,NM,1,-1,0,0,Answer: NM
parallel,default,2,filler,37,YQ,YQ,1,-1,0,0,YQ
parallel,default,2,filler,38,OF,OF,1,-1,0,0,Answer: OF
parallel,default,2,filler,39,TS,TS,1,-1,0,0,Answer: TS
parallel,default,3,immediate,0,AY,AY,1,-1,0,0,AY
parallel,default,3,immediate,1,XP,XP,1,-1,0,0,XP
parallel,default,3,immediate,2,RS,RS,1,-1,0,0,Answer: RS
parallel,default,3,immediate,3,AQ,AQ,1,-1,0,0,Answer: AQ
parallel,default,3,immediate,4,HX,PH,0,-1,0,0,PH
parallel,default,3,immediate,5,IQ,IQ,1,-1,0,0,Answer: IQ
parallel,default,3,immediate,6,QO,QO,1,-1,0,0,Answer: QO
parallel,default,3,immediate,7,HZ,HZ,1,-1,0,0,HZ
parallel,default,3,immediate,8,VN,VN,1,-1,0,0,Answer: VN
parallel,default,3,immediate,9,EP,EP,1,-1,0,0, EP
parallel,default,3,immediate,10,NW,NW,1,-1,0,0,Answer: NW
parallel,default,3,immediate,11,RE,RE,1,-1,0,0,Answer: RE
parallel,default,3,immediate,12,XD,XD,1,-1,0,0,Answer: XD
parallel,default,3,immediate,13,ZY,ZY,1,-1,0,0,Answer: ZY
parallel,default,3,immediate,14,WC,WC,1,-1,0,0,Answer: WC
parallel,default,3,immediate,15,NL,DM,0,-1,0,0,Answer: DM
parallel,default,3,immediate,16,RJ,RJ,1,-1,0,0,Answer: RJ
parallel,default,3,immediate,17,UJ,RL,0,-1,0,0,RL
parallel,default,3,immediate,18,PP,PP,1,-1,0,0,PP
parallel,default,3,immediate,19,MC,MC,1,-1,0,0, MC
parallel,default,3,immediate,20,AK,AK,1,-1,0,0,Answer: AK
parallel,default,3,immediate,21,MG,MG,1,-1,0,0,Answer: MG
parallel,default,3,immediate,22,OK,OK,1,-1,0,0,Answer: OK
parallel,default,3,immediate,23,WQ,WQ,1,-1,0,0,Answer: WQ
parallel,default,3,immediate,24,ZN,ZN,1,-1,0,0,Answer: ZN
parallel,default,3,immediate,25,TY,TY,1,-1,0,0,Answer: TY
parallel,default,3,immediate,26,NG,VD,0,-1,0,0,Answer: VD
parallel,default,3,immediate,27,LE,LE,1,-1,0,0,LE
parallel,default,3,immediate,28,KE,KE,1,-1,0,0,Answer: KE
parallel,default,3,immediate,29,KK,KK,1,-1,0,0,KK
parallel,default,3,immediate,30,ZM,ZM,1,-1,0,0,Answer: ZM
parallel,default,3,immediate,31,PK,PK,1,-1,0,0,PK
parallel,default,3,immediate,32,GK,GK,1,-1,0,0,Answer: GK
parallel,default,3,immediate,33,GQ,GQ,1,-1,0,0,Answer: GQ
parallel,default,3,immediate,34,UJ,UJ,1,-1,0,0,Answer: UJ
parallel,default,3,immediate,35,DD,DD,1,-1,0,0,Answer: DD
parallel,default,3,immediate,36,UI,UI,1,-1,0,0,Answer: UI
parallel,default,3,immediate,37,QN,QN,1,-1,0,0,QN
parallel,default,3,immediate,38,JZ,JZ,1,-1,0,0,Answer: JZ
parallel,default,3,immediate,39,YW,YW,1,-1,0,0, YW
parallel,default,3,filler,0,AY,AY,1,-1,0,0, AY
parallel,default,3,filler,1,XP,XP,1,-1,0,0,Answer: XP
parallel,default,3,filler,2,RS,RS,1,-1,0,0, RS
parallel,default,3,filler,3,AQ,AQ,1,-1,0,0,Answer: AQ
parallel,default,3,filler,4,HX,HX,1,-1,0,0,Answer: HX
parallel,default,3,filler,5,IQ,IQ,1,-1,0,0,Answer: IQ
parallel,default,3,filler,6,QO,QO,1,-1,0,0,Answer: QO
parallel,default,3,filler,7,HZ,HZ,1,-1,0,0,Answer: HZ
parallel,default,3,filler,8,VN,VN,1,-1,0,0,Answer: VN
parallel,default,3,filler,9,EP,PN,0,-1,0,0,Answer: PN
parallel,default,3,filler,10,NW,NW,1,-1,0,0,Answer: NW
parallel,default,3,filler,11,RE,RE,1,-1,0,0,Answer: RE
parallel,default,3,filler,12,XD,XD,1,-1,0,0,Answer: XD
parallel,default,3,filler,13,ZY,MT,0,-1,0,0,Answer: MT
parallel,default,3,filler,14,WC,WC,1,-1,0,0,WC
parallel,default,3,filler,15,NL,NL,1,-1,0,0,Answer: NL
parallel,default,3,filler,16,RJ,RJ,1,-1,0,0,RJ
parallel,default,3,filler,17,UJ,RL,0,-1,0,0,Answer: RL
parallel,default,3,filler,18,PP,PP,1,-1,0,0,PP
parallel,default,3,filler,19,MC,MC,1,-1,0,0,Answer: MC
parallel,default,3,filler,20,AK,AK,1,-1,0,0,AK
parallel,default,3,filler,21,MG,MG,1,-1,0,0,Answer: MG
parallel,default,3,filler,22,OK,OK,1,-1,0,0,Answer: OK
parallel,default,3,filler,23,WQ,WQ,1,-1,0,0,Answer: WQ
parallel,default,3,filler,24,ZN,ZN,1,-1,0,0,Answer: ZN
parallel,default,3,filler,25,TY,TY,1,-1,0,0,TY
parallel,default,3,filler,26,NG,NG,1,-1,0,0, NG
parallel,default,3,filler,27,LE,LE,1,-1,0,0,Answer: LE
parallel,default,3,filler,28,KE,KE,1,-1,0,0,Answer: KE
parallel,default,3,filler,29,KK,MY,0,-1,0,0,Answer: MY
parallel,default,3,filler,30,ZM,ZM,1,-1,0,0,Answer: ZM
parallel,default,3,filler,31,PK,PK,1,-1,0,0,PK
parallel,default,3,filler,32,GK,GK,1,-1,0,0,GK
parallel,default,3,filler,33,GQ,GQ,1,-1,0,0,GQ
parallel,default,3,filler,34,UJ,UJ,1,-1,0,0, UJ
parallel,default,3,filler,35,DD,DD,1,-1,0,0,Answer: DD
parallel,default,3,filler,36,UI,UI,1,-1,0,0,Answer: UI
parallel,default,3,filler,37,QN,QN,1,-1,0,0,QN
parallel,default,3,filler,38,JZ,JZ,1,-1,0,0,Answer: JZ
parallel,default,3,filler,39,YW,YW,1,-1,0,0,YW
parallel,default,4,immediate,0,OD,OD,1,-1,0,0, OD
parallel,default,4,immediate,1,HD,HD,1,-1,0,0,HD
parallel,default,4,immediate,2,EI,EI,1,-1,0,0,Answer: EI
parallel,default,4,immediate,3,YK,YK,1,-1,0,0,Answer: YK
parallel,default,4,immediate,4,GX,UA,0,-1,0,0,Answer: UA
parallel,default,4,immediate,5,CE,CE,1,-1,0,0,Answer: CE
parallel,default,4,immediate,6,AS,AS,1,-1,0,0,Answer: AS
parallel,default,4,immediate,7,OF,OF,1,-1,0,0,OF
parallel,default,4,immediate,8,NC,NC,1,-1,0,0,NC
parallel,default,4,immediate,9,OI,OI,1,-1,0,0,OI
parallel,default,4,immediate,10,XW,LO,0,-1,0,0,Answer: LO
parallel,default,4,immediate,11,OW,OW,1,-1,0,0,Answer: OW
parallel,default,4,immediate,12,MX,MX,1,-1,0,0,Answer: MX
parallel,default,4,immediate,13,YZ,YZ,1,-1,0,0,YZ
parallel,default,4,immediate,14,VP,VP,1,-1,0,0,VP
parallel,default,4,immediate,15,OL,OL,1,-1,0,0, OL
parallel,default,4,immediate,16,ZM,ZM,1,-1,0,0, ZM
parallel,default,4,immediate,17,KN,KN,1,-1,0,0, KN
parallel,default,4,immediate,18,XX,XX,1,-1,0,0, XX
parallel,default,4,immediate,19,VP,VP,1,-1,0,0, VP
parallel,default,4,immediate,20,HK,HK,1,-1,0,0, HK
parallel,default,4,immediate,21,EA,EA,1,-1,0,0, EA
parallel,default,4,immediate,22,BH,BH,1,-1,0,0, BH
parallel,default,4,immediate,23,SD,SD,1,-1,0,0, SD
parallel,default,4,immediate,24,WJ,WJ,1,-1,0,0, WJ
parallel,default,4,immediate,25,GP,GP,1,-1,0,0, GP
parallel,default,4,immediate,26,WU,TG,0,-1,0,0, TG
parallel,default,4,immediate,27,XL,RP,0,-1,0,0,RP
parallel,default,4,immediate,28,XQ,XQ,1,-1,0,0, XQ
parallel,default,4,immediate,29,BP,BP,1,-1,0,0, BP
parallel,default,4,immediate,30,OA,OA,1,-1,0,0, OA
parallel,default,4,immediate,31,NB,NB,1,-1,0,0, NB
parallel,default,4,immediate,32,ZG,ZG,1,-1,0,0, ZG
parallel,default,4,immediate,33,IX,IX,1,-1,0,0, IX
parallel,default,4,immediate,34,CH,CH,1,-1,0,0, CH
parallel,default,4,immediate,35,PC,PC,1,-1,0,0, PC
parallel,default,4,immediate,36,JX,JX,1,-1,0,0, JX
parallel,default,4,immediate,37,WC,WC,1,-1,0,0, WC
parallel,default,4,immediate,38,LT,LT,1,-1,0,0, LT
parallel,default,4,immediate,39,CW,CW,1,-1,0,0, CW
parallel,default,4,filler,0,OD,OD,1,-1,0,0, OD
parallel,default,4,filler,1,HD,DJ,0,-1,0,0, DJ
parallel,default,4,filler,2,EI,JE,0,-1,0,0, JE
parallel,default,4,filler,3,YK,YK,1,-1,0,0, YK
parallel,default,4,filler,4,GX,GX,1,-1,0,0, GX
parallel,default,4,filler,5,CE,MK,0,-1,0,0, MK
parallel,default,4,filler,6,AS,AS,1,-1,0,0, AS
parallel,default,4,filler,7,OF,OF,1,-1,0,0, OF
parallel,default,4,filler,8,NC,NC,1,-1,0,0, NC
parallel,default,4,filler,9,OI,OI,1,-1,0,0, OI
parallel,default,4,filler,10,XW,LO,0,-1,0,0, LO
parallel,default,4,filler,11,OW,OW,1,-1,0,0, OW
parallel,default,4,filler,12,MX,MX,1,-1,0,0, MX
parallel,default,4,filler,13,YZ,YZ,1,-1,0,0, YZ
parallel,default,4,filler,14,VP,VP,1,-1,0,0, VP
parallel,default,4,filler,15,OL,OL,1,-1,0,0, OL
parallel,default,4,filler,16,ZM,ZM,1,-1,0,0, ZM
parallel,default,4,filler,17,KN,KN,1,-1,0,0, KN
parallel,default,4,filler,18,XX,XX,1,-1,0,0, XX
parallel,default,4,filler,19,VP,VP,1,-1,0,0, VP
parallel,default,4,filler,20,HK,HK,1,-1,0,0, HK
parallel,default,4,filler,21,EA,EA,1,-1,0,0, EA
parallel,default,4,filler,22,BH,BH,1,-1,0,0, BH
parallel,default,4,filler,23,SD,SD,1,-1,0,0, SD
parallel,default,4,filler,24,WJ,WJ,1,-1,0,0, WJ
parallel,default,4,filler,25,GP,GP,1,-1,0,0, GP
parallel,default,4,filler,26,WU,TG,0,-1,0,0, TG
parallel,default,4,filler,27,XL,XL,1,-1,0,0, XL
parallel,default,4,filler,28,XQ,XQ,1,-1,0,0, XQ
parallel,default,4,filler,29,BP,BP,1,-1,0,0, BP
parallel,default,4,filler,30,OA,OA,1,-1,0,0, OA
parallel,default,4,filler,31,NB,NB,1,-1,0,0, NB
parallel,default,4,filler,32,ZG,ZG,1,-1,0,0, ZG
parallel,default,4,filler,33,IX,IX,1,-1,0,0, IX
parallel,default,4,filler,34,CH,CH,1,-1,0,0, CH
parallel,default,4,filler,35,PC,PC,1,-1,0,0, PC
parallel,default,4,filler,36,JX,JX,1,-1,0,0, JX
parallel,default,4,filler,37,WC,FD,0,-1,0,0, FD
parallel,default,4,filler,38,LT,LT,1,-1,0,0, LT
parallel,default,4,filler,39,CW,CW,1,-1,0,0, CW
parallel,default,6,immediate,0,RM,RM,1,-1,0,0, RM
parallel,default,6,immediate,1,UA,HW,0,-1,0,0, HW
parallel,default,6,immediate,2,VF,DG,0,-1,0,0, DG
parallel,default,6,immediate,3,NW,NW,1,-1,0,0, NW
parallel,default,6,immediate,4,KL,KL,1,-1,0,0, KL
parallel,default,6,immediate,5,WU,WU,1,-1,0,0, WU
parallel,default,6,immediate,6,OS,OS,1,-1,0,0, OS
parallel,default,6,immediate,7,AN,AN,1,-1,0,0, AN
parallel,default,6,immediate,8,TM,QC,0,-1,0,0, QC
parallel,default,6,immediate,9,LD,LD,1,-1,0,0, LD
parallel,default,6,immediate,10,IC,IC,1,-1,0,0, IC
parallel,default,6,immediate,11,EL,EL,1,-1,0,0, EL
parallel,default,6,immediate,12,WU,WU,1,-1,0,0, WU
parallel,default,6,immediate,13,EZ,EZ,1,-1,0,0, EZ
parallel,default,6,immediate,14,SL,SL,1,-1,0,0, SL
parallel,default,6,immediate,15,ES,ES,1,-1,0,0, ES
parallel,default,6,immediate,16,LU,BW,0,-1,0,0, BW
parallel,default,6,immediate,17,TT,TT,1,-1,0,0, TT
parallel,default,6,immediate,18,QK,QK,1,-1,0,0, QK
parallel,default,6,immediate,19,EB,EB,1,-1,0,0, EB
parallel,default,6,immediate,20,BW,BW,1,-1,0,0, BW
parallel,default,6,immediate,21,GZ,RD,0,-1,0,0, RD
parallel,default,6,immediate,22,JW,JW,1,-1,0,0, JW
parallel,default,6,immediate,23,ON,ON,1,-1,0,0, ON
parallel,default,6,immediate,24,TV,SG,0,-1,0,0, SG
parallel,default,6,immediate,25,IH,IH,1,-1,0,0, IH
parallel,default,6,immediate,26,WH,WH,1,-1,0,0, WH
parallel,default,6,immediate,27,DR,DR,1,-1,0,0, DR
parallel,default,6,immediate,28,QE,PD,0,-1,0,0, PD
parallel,default,6,immediate,29,NU,MP,0,-1,0,0, MP
parallel,default,6,immediate,30,OY,OY,1,-1,0,0, OY
parallel,default,6,immediate,31,RM,RM,1,-1,0,0, RM
parallel,default,6,immediate,32,JK,JK,1,-1,0,0, JK
parallel,default,6,immediate,33,CP,CP,1,-1,0,0, CP
parallel,default,6,immediate,34,UO,DA,0,-1,0,0, DA
parallel,default,6,immediate,35,MH,ZU,0,-1,0,0, ZU
parallel,default,6,immediate,36,IG,IG,1,-1,0,0, IG
parallel,default,6,immediate,37,VG,VG,1,-1,0,0, VG
parallel,default,6,immediate,38,GQ,RK,0,-1,0,0, RK
parallel,default,6,immediate,39,IK,IK,1,-1,0,0, IK
parallel,default,6,filler,0,RM,RM,1,-1,0,0, RM
parallel,default,6,filler,1,UA,HW,0,-1,0,0, HW
parallel,default,6,filler,2,VF,DG,0,-1,0,0, DG
parallel,default,6,filler,3,NW,NW,1,-1,0,0, NW
parallel,default,6,filler,4,KL,KL,1,-1,0,0, KL
parallel,default,6,filler,5,WU,WU,1,-1,0,0, WU
parallel,default,6,filler,6,OS,OS,1,-1,0,0, OS
parallel,default,6,filler,7,AN,AN,1,-1,0,0, AN
parallel,default,6,filler,8,TM,TM,1,-1,0,0, TM
parallel,default,6,filler,9,LD,LD,1,-1,0,0, LD
parallel,default,6,filler,10,IC,IC,1,-1,0,0, IC
parallel,default,6,filler,11,EL,EL,1,-1,0,0, EL
parallel,default,6,filler,12,WU,WU,1,-1,0,0, WU
parallel,default,6,filler,13,EZ,EZ,1,-1,0,0, EZ
parallel,default,6,filler,14,SL,CX,0,-1,0,0, CX
parallel,default,6,filler,15,ES,ES,1,-1,0,0, ES
parallel,default,6,filler,16,LU,LU,1,-1,0,0, LU
parallel,default,6,filler,17,TT,TT,1,-1,0,0,TT
parallel,default,6,filler,18,QK,JG,0,-1,0,0, JG
parallel,default,6,filler,19,EB,PC,0,-1,0,0, PC
parallel,default,6,filler,20,BW,BW,1,-1,0,0, BW
parallel,default,6,filler,21,GZ,QK,0,-1,0,0, QK
parallel,default,6,filler,22,JW,JW,1,-1,0,0, JW
parallel,default,6,filler,23,ON,ON,1,-1,0,0,ON
parallel,default,6,filler,24,TV,TV,1,-1,0,0, TV
parallel,default,6,filler,25,IH,IH,1,-1,0,0, IH
parallel,default,6,filler,26,WH,WH,1,-1,0,0, WH
parallel,default,6,filler,27,DR,DR,1,-1,0,0, DR
parallel,default,6,filler,28,QE,PD,0,-1,0,0, PD
parallel,default,6,filler,29,NU,MP,0,-1,0,0, MP
parallel,default,6,filler,30,OY,OY,1,-1,0,0, OY
parallel,default,6,filler,31,RM,RM,1,-1,0,0, RM
parallel,default,6,filler,32,JK,JK,1,-1,0,0,Answer: JK
parallel,default,6,filler,33,CP,CP,1,-1,0,0, CP
parallel,default,6,filler,34,UO,UO,1,-1,0,0, UO
parallel,default,6,filler,35,MH,EV,0,-1,0,0, EV
parallel,default,6,filler,36,IG,IG,1,-1,0,0, IG
parallel,default,6,filler,37,VG,VG,1,-1,0,0, VG
parallel,default,6,filler,38,GQ,RK,0,-1,0,0, RK
parallel,default,6,filler,39,IK,IK,1,-1,0,0, IK
parallel,default,8,immediate,0,VA,VA,1,-1,0,0, VA
parallel,default,8,immediate,1,AV,AV,1,-1,0,0,Answer: AV
parallel,default,8,immediate,2,SG,SG,1,-1,0,0, SG
parallel,default,8,immediate,3,LL,LL,1,-1,0,0,LL
parallel,default,8,immediate,4,VW,VW,1,-1,0,0, VW
parallel,default,8,immediate,5,VO,QW,0,-1,0,0, QW
parallel,default,8,immediate,6,JC,YF,0,-1,0,0, YF
parallel,default,8,immediate,7,BK,BK,1,-1,0,0, BK
parallel,default,8,immediate,8,SI,SI,1,-1,0,0, SI
parallel,default,8,immediate,9,QN,MA,0,-1,0,0, MA
parallel,default,8,immediate,10,HH,HH,1,-1,0,0, HH
parallel,default,8,immediate,11,IC,IC,1,-1,0,0, IC
parallel,default,8,immediate,12,BV,BV,1,-1,0,0, BV
parallel,default,8,immediate,13,PE,PE,1,-1,0,0, PE
parallel,default,8,immediate,14,ZX,ZX,1,-1,0,0, ZX
parallel,default,8,immediate,15,PL,PL,1,-1,0,0,PL
parallel,default,8,immediate,16,QS,YN,0,-1,0,0,YN
parallel,default,8,immediate,17,BA,BA,1,-1,0,0, BA
parallel,default,8,immediate,18,NG,NG,1,-1,0,0,NG
parallel,default,8,immediate,19,PN,PN,1,-1,0,0,PN
parallel,default,8,immediate,20,ZW,CL,0,-1,0,0,Answer: CL
parallel,default,8,immediate,21,KX,KX,1,-1,0,0,Answer: KX
parallel,default,8,immediate,22,KN,KN,1,-1,0,0,KN
parallel,default,8,immediate,23,IN,UE,0,-1,0,0,UE
parallel,default,8,immediate,24,ER,ER,1,-1,0,0,ER
parallel,default,8,immediate,25,WB,WB,1,-1,0,0,Answer: WB
parallel,default,8,immediate,26,DS,DS,1,-1,0,0,DS
parallel,default,8,immediate,27,IP,IP,1,-1,0,0,IP
parallel,default,8,immediate,28,UY,HV,0,-1,0,0,Answer: HV
parallel,default,8,immediate,29,ZN,ZN,1,-1,0,0,Answer: ZN
parallel,default,8,immediate,30,JR,JR,1,-1,0,0,Answer: JR
parallel,default,8,immediate,31,LR,LR,1,-1,0,0,LR
parallel,default,8,immediate,32,FO,FO,1,-1,0,0,FO
parallel,default,8,immediate,33,LV,LV,1,-1,0,0,LV
parallel,default,8,immediate,34,BQ,BQ,1,-1,0,0,BQ
parallel,default,8,immediate,35,HE,HE,1,-1,0,0,HE
parallel,default,8,immediate,36,QR,QR,1,-1,0,0,QR
parallel,default,8,immediate,37,SU,QE,0,-1,0,0,QE
parallel,default,8,immediate,38,LE,LE,1,-1,0,0,Answer: LE
parallel,default,8,immediate,39,HL,HL,1,-1,0,0,HL
parallel,default,8,filler,0,VA,VA,1,-1,0,0,VA
parallel,default,8,filler,1,AV,AV,1,-1,0,0,Answer: AV
parallel,default,8,filler,2,SG,SG,1,-1,0,0,SG
parallel,default,8,filler,3,LL,LL,1,-1,0,0,LL
parallel,default,8,filler,4,VW,NS,0,-1,0,0,Answer: NS
parallel,default,8,filler,5,VO,QW,0,-1,0,0,QW
parallel,default,8,filler,6,JC,WG,0,-1,0,0,Answer: WG
parallel,default,8,filler,7,BK,BK,1,-1,0,0,BK
parallel,default,8,filler,8,SI,SI,1,-1,0,0,Answer: SI
parallel,default,8,filler,9,QN,QN,1,-1,0,0,QN
parallel,default,8,filler,10,HH,HH,1,-1,0,0,Answer: HH
parallel,default,8,filler,11,IC,IC,1,-1,0,0,Answer: IC
parallel,default,8,filler,12,BV,BV,1,-1,0,0,Answer: BV
parallel,default,8,filler,13,PE,PE,1,-1,0,0, PE
parallel,default,8,filler,14,ZX,ZX,1,-1,0,0, ZX
parallel,default,8,filler,15,PL,PL,1,-1,0,0,PL
parallel,default,8,filler,16,QS,YN,0,-1,0,0,YN
parallel,default,8,filler,17,BA,BA,1,-1,0,0,BA
parallel,default,8,filler,18,NG,NG,1,-1,0,0,NG
parallel,default,8,filler,19,PN,PN,1,-1,0,0,PN
parallel,default,8,filler,20,ZW,ZW,1,-1,0,0,Answer: ZW
parallel,default,8,filler,21,KX,KD,0,-1,0,0,Answer: KD
parallel,default,8,filler,22,KN,YF,0,-1,0,0,Answer: YF
parallel,default,8,filler,23,IN,AM,0,-1,0,0,Answer: AM
parallel,default,8,filler,24,ER,ER,1,-1,0,0,ER
parallel,default,8,filler,25,WB,WB,1,-1,0,0,Answer: WB
parallel,default,8,filler,26,DS,DS,1,-1,0,0,DS
parallel,default,8,filler,27,IP,IP,1,-1,0,0,Answer: IP
parallel,default,8,filler,28,UY,HV,0,-1,0,0,Answer: HV
parallel,default,8,filler,29,ZN,ZN,1,-1,0,0,ZN
parallel,default,8,filler,30,JR,ED,0,-1,0,0,Answer: ED
parallel,default,8,filler,31,LR,LR,1,-1,0,0, LR
parallel,default,8,filler,32,FO,FO,1,-1,0,0, FO
parallel,default,8,filler,33,LV,LV,1,-1,0,0,LV
parallel,default,8,filler,34,BQ,BQ,1,-1,0,0, BQ
parallel,default,8,filler,35,HE,HD,0,-1,0,0,Answer: HD
parallel,default,8,filler,36,QR,QR,1,-1,0,0,QR
parallel,default,8,filler,37,SU,JW,0,-1,0,0,Answer: JW
parallel,default,8,filler,38,LE,LE,1,-1,0,0,Answer: LE
parallel,default,8,filler,39,HL,HL,1,-1,0,0,HL
